phase,epoch,loss,val_macro_f1
phase2,1,3.281165404562116,0.5673567353658793
phase2,2,2.0792037633511886,0.6921569256824471
phase2,3,1.716573498489833,0.735968097022956
phase2,4,1.5316231990285438,0.7570579456270107
phase2,5,1.413800461926476,0.782074282003705
phase2,6,1.3296639767133758,0.7931283081988175
phase2,7,1.2638314248264426,0.7995292532907734
phase2,8,1.207749946348738,0.8047415418104787
phase2,9,1.170220659550267,0.8150764981033493
phase2,10,1.1201482202511022,0.8168907426536863
phase2,11,1.0933160088919964,0.8220445357950354
phase2,12,1.066530916490964,0.8220942038894101
phase2,13,1.0445399218534086,0.8261520032073895
phase2,14,1.0253055350929992,0.8280160746981455
phase2,15,1.0122535773614059,0.8280553400829354
phase2,16,0.9937294082893396,0.8294385965908602
phase2,17,0.9886073067290555,0.8313380907606551
phase2,18,0.9850420241843749,0.8304456505100115
phase2,19,0.9880023354476828,0.8324828750084147
phase2,20,0.9761076674256781,0.832246032130021
